Ensembl Gene ID (Human)	Ensembl Gene ID (Mouse)	Human Gene Symbol	PS score (P-value)	PS score (Z-score)	PG classification	Semantic similarity
ENSG00000112320	ENSMUSG00000038248	SOBP	0.010075134	2.323538	HPG	1.314733
ENSG00000130037	ENSMUSG00000045534	KCNA5	0.010097234	2.322715	HPG	1.35787
ENSG00000213918	ENSMUSG00000005980	DNASE1	0.010222106	2.318094	HPG	1.313459
ENSG00000182389	ENSMUSG00000017412	CACNB4	0.010335315	2.313947	HPG	1.752433
ENSG00000109846	ENSMUSG00000032060	CRYAB	0.010343849	2.313636	HPG	1.266692
ENSG00000147465	ENSMUSG00000031574	STAR	0.010364426	2.312887	HPG	1.612746
ENSG00000187566	ENSMUSG00000044231	NHLRC1	0.010515904	2.307413	HPG	1.628648
ENSG00000164458	ENSMUSG00000062327	T	0.010597885	2.304479	HPG	1.673726
ENSG00000185231	ENSMUSG00000045569	MC2R	0.010606551	2.30417	HPG	1.449026
ENSG00000135409	ENSMUSG00000023047	AMHR2	0.010610901	2.304015	HPG	1.468489
ENSG00000189114	ENSMUSG00000057667	BLOC1S3	0.010702233	2.300773	HPG	1.351356
ENSG00000100985	ENSMUSG00000017737	MMP9	0.01081375	2.296847	HPG	1.846775
ENSG00000149781	ENSMUSG00000024965	FERMT3	0.01101492	2.289853	HPG	1.445587
ENSG00000128973	ENSMUSG00000032245	CLN6	0.011023766	2.289548	HPG	1.261471
ENSG00000160224	ENSMUSG00000000731	AIRE	0.011039618	2.289002	HPG	1.624393
ENSG00000089225	ENSMUSG00000018263	TBX5	0.011089538	2.287287	HPG	1.669425
ENSG00000204843	ENSMUSG00000031865	DCTN1	0.011125345	2.286061	HPG	1.214755
ENSG00000105880	ENSMUSG00000029755	DLX5	0.011219014	2.28287	HPG	1.74365
ENSG00000042317	ENSMUSG00000021007	SPATA7	0.0112339	2.282365	HPG	1.345892
ENSG00000197102	ENSMUSG00000018707	DYNC1H1	0.011360608	2.27809	HPG	1.348556
ENSG00000131873	ENSMUSG00000032640	CHSY1	0.011530457	2.272424	HPG	1.393064
ENSG00000143839	ENSMUSG00000070645	REN	0.011533957	2.272308	HPG	1.620535
ENSG00000187678	ENSMUSG00000024427	SPRY4	0.011559512	2.271462	HPG	1.342655
ENSG00000136160	ENSMUSG00000022122	EDNRB	0.011745912	2.26534	HPG	1.618924
ENSG00000177807	ENSMUSG00000044708	KCNJ10	0.011751431	2.26516	HPG	1.618883
ENSG00000178568	ENSMUSG00000062209	ERBB4	0.011765671	2.264696	HPG	1.597706
ENSG00000121207	ENSMUSG00000028003	LRAT	0.011816304	2.26305	HPG	1.439149
ENSG00000092295	ENSMUSG00000022218	TGM1	0.0118295	2.262622	HPG	1.300486
ENSG00000203618	ENSMUSG00000050761	GP1BB	0.011841475	2.262234	HPG	1.112603
ENSG00000164306	ENSMUSG00000038225	PRIMPOL	0.011916895	2.259798	HPG	1.191029
ENSG00000105711	ENSMUSG00000019194	SCN1B	0.012004006	2.257001	HPG	1.437696
ENSG00000072864	ENSMUSG00000022678	NDE1	0.012127998	2.25305	HPG	1.111036
ENSG00000138075	ENSMUSG00000040505	ABCG5	0.012134746	2.252836	HPG	1.660806
ENSG00000188992	ENSMUSG00000032948	LIPI	0.01213954	2.252684	HPG	1.337081
ENSG00000166189	ENSMUSG00000074811	HPS6	0.012204491	2.25063	HPG	1.188389
ENSG00000103876	ENSMUSG00000030630	FAH	0.012216128	2.250263	HPG	1.61544
ENSG00000137992	ENSMUSG00000000340	DBT	0.012294282	2.247806	HPG	1.148635
ENSG00000162733	ENSMUSG00000026674	DDR2	0.012299035	2.247657	HPG	1.5938
ENSG00000140854	ENSMUSG00000031787	KATNB1	0.012393474	2.244707	HPG	1.614156
ENSG00000142798	ENSMUSG00000028763	HSPG2	0.012400446	2.24449	HPG	1.593095
ENSG00000111732	ENSMUSG00000040627	AICDA	0.012429944	2.243573	HPG	1.363535
ENSG00000104133	ENSMUSG00000033396	SPG11	0.012452986	2.242858	HPG	1.341346
ENSG00000165588	ENSMUSG00000021848	OTX2	0.012475969	2.242146	HPG	1.658132
ENSG00000092929	ENSMUSG00000057948	UNC13D	0.012527554	2.240552	HPG	1.502296
ENSG00000164619	ENSMUSG00000031963	BMPER	0.01259824	2.238377	HPG	1.591735
ENSG00000186197	ENSMUSG00000095105	EDARADD	0.013030217	2.22531	HPG	1.65392
ENSG00000168484	ENSMUSG00000022097	SFTPC	0.013077486	2.223903	HPG	1.429746
ENSG00000128422	ENSMUSG00000035557	KRT17	0.013088324	2.223581	HPG	1.291355
ENSG00000197603	ENSMUSG00000039801	C5orf42	0.013132296	2.222277	HPG	1.588153
ENSG00000100292	ENSMUSG00000005413	HMOX1	0.013141214	2.222013	HPG	1.726453
ENSG00000049540	ENSMUSG00000029675	ELN	0.013259733	2.218519	HPG	1.652221
ENSG00000131095	ENSMUSG00000020932	GFAP	0.013393766	2.2146	MPG	1.427511
ENSG00000081237	ENSMUSG00000026395	PTPRC	0.013448099	2.213021	MPG	1.650845
ENSG00000169692	ENSMUSG00000026922	AGPAT2	0.013608793	2.208383	MPG	1.605761
ENSG00000158055	ENSMUSG00000037188	GRHL3	0.013616178	2.208171	MPG	1.817447
ENSG00000197081	ENSMUSG00000023830	IGF2R	0.013628586	2.207815	MPG	1.817329
ENSG00000163930	ENSMUSG00000021901	BAP1	0.013745513	2.204474	MPG	1.578911
ENSG00000122145	ENSMUSG00000031241	TBX22	0.013826686	2.202169	MPG	1.286348
ENSG00000107521	ENSMUSG00000025188	HPS1	0.013866844	2.201033	MPG	1.604062
ENSG00000197912	ENSMUSG00000000738	SPG7	0.013896177	2.200205	MPG	1.138099
ENSG00000112276	ENSMUSG00000071317	BVES	0.013906002	2.199928	MPG	1.239202
ENSG00000066629	ENSMUSG00000058070	EML1	0.013911254	2.19978	MPG	1.577446
ENSG00000182871	ENSMUSG00000001435	COL18A1	0.013936082	2.199081	MPG	1.603611
ENSG00000146648	ENSMUSG00000020122	EGFR	0.013962301	2.198344	MPG	1.719764
ENSG00000108641	ENSMUSG00000001039	B9D1	0.013974482	2.198002	MPG	1.719668
ENSG00000124198	ENSMUSG00000074582	ARFGEF2	0.013994697	2.197435	MPG	1.177049
ENSG00000136931	ENSMUSG00000026751	NR5A1	0.014142742	2.193304	MPG	1.71834
ENSG00000105976	ENSMUSG00000009376	MET	0.014171567	2.192504	MPG	1.718114
ENSG00000064309	ENSMUSG00000038119	CDON	0.014219095	2.191188	MPG	1.717742
ENSG00000197746	ENSMUSG00000004207	PSAP	0.014253635	2.190234	MPG	1.581023
ENSG00000083937	ENSMUSG00000004843	CHMP2B	0.014310635	2.188664	MPG	0.982133
ENSG00000123560	ENSMUSG00000031425	PLP1	0.01432235	2.188342	MPG	1.580602
ENSG00000090020	ENSMUSG00000028854	SLC9A1	0.014367247	2.18711	MPG	1.644363
ENSG00000095397	ENSMUSG00000039137	WHRN	0.014386344	2.186587	MPG	1.810308
ENSG00000059377	ENSMUSG00000029925	TBXAS1	0.014433099	2.185309	MPG	1.041154
ENSG00000138029	ENSMUSG00000059447	HADHB	0.014605175	2.180636	MPG	1.237867
ENSG00000110400	ENSMUSG00000032012	NECTIN1	0.014811312	2.1751	MPG	1.371547
ENSG00000203877	ENSMUSG00000047897	RIPPLY2	0.014829002	2.174628	MPG	1.569596
ENSG00000240505	ENSMUSG00000010142	TNFRSF13B	0.01487688	2.173353	MPG	1.597665
ENSG00000100348	ENSMUSG00000005354	TXN2	0.014909286	2.172492	MPG	1.131965
ENSG00000196396	ENSMUSG00000027540	PTPN1	0.015000923	2.170066	MPG	1.568172
ENSG00000147437	ENSMUSG00000015812	GNRH1	0.01514887	2.166176	MPG	1.710674
ENSG00000100299	ENSMUSG00000022620	ARSA	0.015279591	2.162766	MPG	1.368821
ENSG00000169126	ENSMUSG00000061802	ARMC4	0.015312596	2.161909	MPG	1.48106
ENSG00000070814	ENSMUSG00000024613	TCOF1	0.01531726	2.161788	MPG	1.594992
ENSG00000177706	ENSMUSG00000025854	FAM20C	0.015409496	2.159402	MPG	1.574163
ENSG00000102805	ENSMUSG00000022125	CLN5	0.015415078	2.159258	MPG	1.001087
ENSG00000006611	ENSMUSG00000030838	USH1C	0.015505365	2.156935	MPG	1.800501
ENSG00000124356	ENSMUSG00000006906	STAMBP	0.015514446	2.156702	MPG	1.090818
ENSG00000196876	ENSMUSG00000023033	SCN8A	0.015557339	2.155603	MPG	1.593563
ENSG00000113262	ENSMUSG00000000617	GRM6	0.015601118	2.154484	MPG	1.423515
ENSG00000157087	ENSMUSG00000030302	ATP2B2	0.015671053	2.152702	MPG	1.799101
ENSG00000119888	ENSMUSG00000045394	EPCAM	0.015691669	2.152178	MPG	1.706718
ENSG00000130203	ENSMUSG00000002985	APOE	0.015724884	2.151335	MPG	1.592576
ENSG00000132518	ENSMUSG00000020890	GUCY2D	0.015776381	2.150031	MPG	1.231234
ENSG00000134160	ENSMUSG00000030523	TRPM1	0.015800323	2.149426	MPG	1.22602
ENSG00000151150	ENSMUSG00000069601	ANK3	0.01580662	2.149267	MPG	1.338845
ENSG00000131238	ENSMUSG00000028657	PPT1	0.015825327	2.148795	MPG	1.591989
ENSG00000158158	ENSMUSG00000037408	CNNM4	0.0159152	2.146534	MPG	1.225265
ENSG00000039650	ENSMUSG00000002963	PNKP	0.015976583	2.144996	MPG	1.230142
ENSG00000122859	ENSMUSG00000044312	NEUROG3	0.016218361	2.138987	MPG	1.47487
ENSG00000152669	ENSMUSG00000042417	CCNO	0.016344557	2.135881	MPG	1.222484
ENSG00000104447	ENSMUSG00000038679	TRPS1	0.016350306	2.13574	MPG	1.568898
ENSG00000165478	ENSMUSG00000046240	HEPACAM	0.016417625	2.134092	MPG	0.995508
ENSG00000198851	ENSMUSG00000032093	CD3E	0.016447234	2.133369	MPG	1.473353
ENSG00000048342	ENSMUSG00000039765	CC2D2A	0.0165158	2.131699	MPG	1.567999
ENSG00000167580	ENSMUSG00000023013	AQP2	0.016524069	2.131498	MPG	1.587992
ENSG00000075702	ENSMUSG00000037020	WDR62	0.016627503	2.128991	MPG	1.361353
ENSG00000103995	ENSMUSG00000068394	CEP152	0.01686457	2.123295	MPG	1.026623
ENSG00000117298	ENSMUSG00000057530	ECE1	0.016884301	2.122824	MPG	1.585987
ENSG00000198734	ENSMUSG00000026579	F5	0.016967045	2.120854	MPG	1.22491
ENSG00000103449	ENSMUSG00000031665	SALL1	0.016971297	2.120753	MPG	1.565564
ENSG00000163599	ENSMUSG00000026011	CTLA4	0.017039825	2.119128	MPG	1.585133
ENSG00000145362	ENSMUSG00000032826	ANK2	0.017081183	2.11815	MPG	1.697102
ENSG00000135486	ENSMUSG00000046434	HNRNPA1	0.017229894	2.11465	MPG	1.265879
ENSG00000162928	ENSMUSG00000020283	PEX13	0.017388262	2.110951	MPG	1.357365
ENSG00000185811	ENSMUSG00000018654	IKZF1	0.017399526	2.110689	MPG	1.785205
ENSG00000155657	ENSMUSG00000051747	TTN	0.017404257	2.110579	MPG	1.583157
ENSG00000040608	ENSMUSG00000043811	RTN4R	0.017412862	2.110379	MPG	1.328664
ENSG00000196338	ENSMUSG00000031302	NLGN3	0.017686127	2.104071	MPG	1.581653
ENSG00000181027	ENSMUSG00000048920	FKRP	0.017748188	2.10265	MPG	1.561536
ENSG00000101115	ENSMUSG00000027547	SALL4	0.017757375	2.10244	MPG	1.561489
ENSG00000107798	ENSMUSG00000024781	LIPA	0.017773572	2.10207	MPG	1.623087
ENSG00000085998	ENSMUSG00000028700	POMGNT1	0.017799119	2.101487	MPG	1.561277
ENSG00000117394	ENSMUSG00000028645	SLC2A1	0.017890211	2.099414	MPG	1.078797
ENSG00000157978	ENSMUSG00000037295	LDLRAP1	0.017912065	2.098918	MPG	1.14471
ENSG00000082074	ENSMUSG00000022148	FYB	0.017925735	2.098608	MPG	1.291342
ENSG00000135925	ENSMUSG00000026167	WNT10A	0.01794798	2.098104	MPG	1.176988
ENSG00000166349	ENSMUSG00000061311	RAG1	0.018264659	2.090986	MPG	1.558941
ENSG00000021574	ENSMUSG00000024068	SPAST	0.01828632	2.090503	MPG	1.113816
ENSG00000027697	ENSMUSG00000020009	IFNGR1	0.018331099	2.089506	MPG	1.689007
ENSG00000165186	ENSMUSG00000041552	PTCHD1	0.018443163	2.08702	MPG	1.322548
ENSG00000107882	ENSMUSG00000025231	SUFU	0.018512332	2.085492	MPG	1.557718
ENSG00000135917	ENSMUSG00000038496	SLC19A3	0.01860616	2.083427	MPG	1.216799
ENSG00000151577	ENSMUSG00000022705	DRD3	0.018783689	2.079544	MPG	1.617451
ENSG00000022267	ENSMUSG00000023092	FHL1	0.018811341	2.078942	MPG	1.173138
ENSG00000168269	ENSMUSG00000047861	FOXI1	0.018816581	2.078828	MPG	1.774667
ENSG00000141837	ENSMUSG00000034656	CACNA1A	0.018840638	2.078305	MPG	1.556119
ENSG00000102393	ENSMUSG00000031266	GLA	0.018870988	2.077646	MPG	1.215546
ENSG00000105771	ENSMUSG00000002210	SMG9	0.018921879	2.076543	MPG	1.575291
ENSG00000049167	ENSMUSG00000021694	ERCC8	0.01893417	2.076277	MPG	1.172602
ENSG00000145020	ENSMUSG00000032607	AMT	0.018959326	2.075733	MPG	0.982572
ENSG00000151704	ENSMUSG00000041248	KCNJ1	0.019096984	2.072767	MPG	1.306542
ENSG00000185551	ENSMUSG00000030551	NR2F2	0.019118224	2.072311	MPG	1.456865
ENSG00000173175	ENSMUSG00000022840	ADCY5	0.01922341	2.070059	MPG	1.146974
ENSG00000174684	ENSMUSG00000047379	B4GAT1	0.019307274	2.068271	MPG	1.347929
ENSG00000135111	ENSMUSG00000018604	TBX3	0.01947707	2.064671	MPG	1.553085
ENSG00000136574	ENSMUSG00000021944	GATA4	0.019510091	2.063974	MPG	1.613556
ENSG00000105146	ENSMUSG00000070837	AURKC	0.01956002	2.062922	MPG	1.134347
ENSG00000118729	ENSMUSG00000027861	CASQ2	0.01974142	2.059119	MPG	1.533546
ENSG00000134460	ENSMUSG00000026770	IL2RA	0.01977132	2.058495	MPG	1.57112
ENSG00000103507	ENSMUSG00000030802	BCKDK	0.020200178	2.049632	MPG	1.530585
ENSG00000115840	ENSMUSG00000027010	SLC25A12	0.020307795	2.047433	MPG	1.312184
ENSG00000124140	ENSMUSG00000017740	SLC12A5	0.020347557	2.046623	MPG	1.609215
ENSG00000163719	ENSMUSG00000030269	MTMR14	0.020354879	2.046474	MPG	1.249935
ENSG00000125124	ENSMUSG00000031755	BBS2	0.02057403	2.042035	MPG	1.386059
ENSG00000171735	ENSMUSG00000014592	CAMTA1	0.020657839	2.040348	MPG	0.974728
ENSG00000168487	ENSMUSG00000022098	BMP1	0.02087086	2.036086	MPG	1.101771
ENSG00000076242	ENSMUSG00000032498	MLH1	0.020979327	2.03393	MPG	1.565442
ENSG00000077238	ENSMUSG00000030748	IL4R	0.0212936	2.027736	MPG	1.757769
ENSG00000150275	ENSMUSG00000052613	PCDH15	0.021322924	2.027162	MPG	1.671389
ENSG00000070018	ENSMUSG00000030201	LRP6	0.021366155	2.026317	MPG	1.604135
ENSG00000160801	ENSMUSG00000032492	PTH1R	0.021425982	2.02515	MPG	1.544292
ENSG00000128881	ENSMUSG00000090100	TTBK2	0.021453559	2.024613	MPG	1.30621
ENSG00000164171	ENSMUSG00000015533	ITGA2	0.021526678	2.023192	MPG	1.268954
ENSG00000108381	ENSMUSG00000020774	ASPA	0.021706687	2.019711	MPG	1.602482
ENSG00000005339	ENSMUSG00000022521	CREBBP	0.021888018	2.016229	MPG	1.542307
ENSG00000143632	ENSMUSG00000031972	ACTA1	0.021897897	2.01604	MPG	1.294934
ENSG00000163932	ENSMUSG00000021948	PRKCD	0.022016686	2.013773	MPG	1.667606
ENSG00000087088	ENSMUSG00000003873	BAX	0.022038385	2.01336	MPG	1.440947
ENSG00000092067	ENSMUSG00000052435	CEBPE	0.022190311	2.010478	MPG	1.518365
ENSG00000179774	ENSMUSG00000036816	ATOH7	0.022347321	2.007517	MPG	1.559338
ENSG00000068796	ENSMUSG00000021693	KIF2A	0.022382339	2.006859	MPG	1.37761
ENSG00000149257	ENSMUSG00000070436	SERPINH1	0.022390488	2.006706	MPG	0.942873
ENSG00000106976	ENSMUSG00000026825	DNM1	0.022397414	2.006576	MPG	1.377542
ENSG00000138760	ENSMUSG00000029426	SCARB2	0.022431752	2.005932	MPG	1.599035
ENSG00000121653	ENSMUSG00000027223	MAPK8IP1	0.022431805	2.005931	MPG	1.378835
ENSG00000105639	ENSMUSG00000031805	JAK3	0.022446748	2.005651	MPG	1.598964
ENSG00000183091	ENSMUSG00000026950	NEB	0.022482058	2.00499	MPG	1.292673
ENSG00000145191	ENSMUSG00000003235	EIF2B5	0.022640699	2.002031	MPG	1.199158
ENSG00000163380	ENSMUSG00000044086	LMOD3	0.022901459	1.997205	MPG	1.375291
ENSG00000114349	ENSMUSG00000034837	GNAT1	0.022956024	1.996201	MPG	1.260941
ENSG00000169379	ENSMUSG00000022911	ARL13B	0.023022531	1.99498	MPG	1.114786
ENSG00000005102	ENSMUSG00000001493	MEOX1	0.023023785	1.994957	MPG	0.996549
ENSG00000125618	ENSMUSG00000026976	PAX8	0.02303464	1.994758	MPG	1.556389
ENSG00000109320	ENSMUSG00000028163	NFKB1	0.023051886	1.994442	MPG	1.662143
ENSG00000170540	ENSMUSG00000030654	ARL6IP1	0.023099096	1.993578	MPG	1.18534
ENSG00000166794	ENSMUSG00000032383	PPIB	0.023175272	1.992187	MPG	1.595596
ENSG00000090861	ENSMUSG00000031960	AARS	0.023317563	1.989599	MPG	1.330537
ENSG00000163132	ENSMUSG00000048450	MSX1	0.023388763	1.988309	MPG	1.594626
ENSG00000132740	ENSMUSG00000024831	IGHMBP2	0.023401532	1.988078	MPG	1.536043
ENSG00000100099	ENSMUSG00000042328	HPS4	0.023407891	1.987963	MPG	1.373431
ENSG00000205403	ENSMUSG00000058952	CFI	0.023520437	1.985932	MPG	0.938391
ENSG00000177426	ENSMUSG00000047407	TGIF1	0.023588651	1.984705	MPG	1.659391
ENSG00000060718	ENSMUSG00000027966	COL11A1	0.023655636	1.983503	MPG	1.535025
ENSG00000157856	ENSMUSG00000073102	DRC1	0.023667802	1.983285	MPG	1.432825
ENSG00000171316	ENSMUSG00000041235	CHD7	0.023773665	1.981392	MPG	1.534556
ENSG00000105996	ENSMUSG00000014704	HOXA2	0.023783976	1.981208	MPG	1.74238
ENSG00000157103	ENSMUSG00000030310	SLC6A1	0.023823631	1.980501	MPG	1.50901
ENSG00000182040	ENSMUSG00000045288	USH1G	0.02393577	1.978507	MPG	1.508388
ENSG00000136280	ENSMUSG00000000378	CCM2	0.023956514	1.978139	MPG	1.741365
ENSG00000188419	ENSMUSG00000025531	CHM	0.023984102	1.97765	MPG	1.431304
ENSG00000112077	ENSMUSG00000023926	RHAG	0.024064876	1.976221	MPG	0.992159
ENSG00000204842	ENSMUSG00000042605	ATXN2	0.024111897	1.975391	MPG	1.286616
ENSG00000163631	ENSMUSG00000029368	ALB	0.024120573	1.975238	MPG	1.039358
ENSG00000169604	ENSMUSG00000033420	ANTXR1	0.024404347	1.970259	MPG	1.192272
ENSG00000156738	ENSMUSG00000024673	MS4A1	0.02444722	1.969511	MPG	1.107453
ENSG00000130294	ENSMUSG00000014602	KIF1A	0.024536378	1.967959	MPG	1.285096
ENSG00000164418	ENSMUSG00000056073	GRIK2	0.024919279	1.961347	MPG	1.289646
ENSG00000148384	ENSMUSG00000026925	INPP5E	0.024967988	1.960512	MPG	1.283572
ENSG00000183337	ENSMUSG00000040363	BCOR	0.02499883	1.959984	MPG	1.049539
ENSG00000165702	ENSMUSG00000026815	GFI1B	0.025014614	1.959714	MPG	1.229644
ENSG00000163600	ENSMUSG00000026009	ICOS	0.02525426	1.955632	MPG	1.547347
ENSG00000142156	ENSMUSG00000001119	COL6A1	0.025446256	1.952385	MPG	1.047944
ENSG00000007168	ENSMUSG00000020745	PAFAH1B1	0.025457825	1.95219	MPG	1.585589
ENSG00000198954	ENSMUSG00000036955	KIF1BP	0.0255155	1.951219	MPG	1.28167
ENSG00000131808	ENSMUSG00000027120	FSHB	0.025562623	1.950427	MPG	1.423953
ENSG00000188153	ENSMUSG00000031274	COL4A5	0.025650459	1.948954	MPG	1.545803
ENSG00000138002	ENSMUSG00000038564	IFT172	0.025725255	1.947703	MPG	1.52706
ENSG00000118503	ENSMUSG00000019850	TNFAIP3	0.025751247	1.947269	MPG	1.4231
ENSG00000186827	ENSMUSG00000029075	TNFRSF4	0.025804795	1.946376	MPG	1.100793
ENSG00000072163	ENSMUSG00000024395	LIMS2	0.025929221	1.944307	MPG	1.031464
ENSG00000152556	ENSMUSG00000033065	PFKM	0.026006629	1.943024	MPG	1.583296
ENSG00000138759	ENSMUSG00000034687	FRAS1	0.026026329	1.942698	MPG	1.525946
ENSG00000104164	ENSMUSG00000005804	BLOC1S6	0.026221824	1.939474	MPG	1.728577
ENSG00000106003	ENSMUSG00000029570	LFNG	0.026275702	1.938589	MPG	1.728284
ENSG00000116678	ENSMUSG00000057722	LEPR	0.026365766	1.937113	MPG	1.645942
ENSG00000196159	ENSMUSG00000046743	FAT4	0.02653186	1.934402	MPG	1.278229
ENSG00000118972	ENSMUSG00000000182	FGF23	0.026553859	1.934044	MPG	1.542357
ENSG00000169083	ENSMUSG00000046532	AR	0.026662478	1.93228	MPG	1.523628
ENSG00000145888	ENSMUSG00000000263	GLRA1	0.026681172	1.931977	MPG	1.580532
ENSG00000117054	ENSMUSG00000062908	ACADM	0.026753895	1.9308	MPG	1.222882
ENSG00000126233	ENSMUSG00000022596	SLURP1	0.026803295	1.930002	MPG	1.418437
ENSG00000132932	ENSMUSG00000021983	ATP8A2	0.026805339	1.929969	MPG	1.643923
ENSG00000113946	ENSMUSG00000038148	CLDN16	0.026846505	1.929305	MPG	1.078135
ENSG00000136531	ENSMUSG00000075318	SCN2A	0.02690512	1.928361	MPG	1.113516
ENSG00000137203	ENSMUSG00000021359	TFAP2A	0.027083106	1.925505	MPG	1.522121
ENSG00000115380	ENSMUSG00000020467	EFEMP1	0.027111427	1.925052	MPG	1.723807
ENSG00000087586	ENSMUSG00000027496	AURKA	0.027145156	1.924513	MPG	1.491537
ENSG00000113494	ENSMUSG00000005268	PRLR	0.027343925	1.921348	MPG	1.722582
ENSG00000102245	ENSMUSG00000031132	CD40LG	0.027351233	1.921232	MPG	1.539396
ENSG00000197694	ENSMUSG00000057738	SPTAN1	0.027535477	1.918316	MPG	1.356341
ENSG00000170820	ENSMUSG00000032937	FSHR	0.027913223	1.912388	MPG	1.638955
ENSG00000124205	ENSMUSG00000027524	EDN3	0.028002419	1.910998	MPG	1.179428
ENSG00000019186	ENSMUSG00000038567	CYP24A1	0.028089082	1.909651	MPG	1.073785
ENSG00000119401	ENSMUSG00000051675	TRIM32	0.028204463	1.907863	MPG	1.312466
ENSG00000196586	ENSMUSG00000033577	MYO6	0.028233887	1.907408	MPG	1.637548
ENSG00000071564	ENSMUSG00000020167	TCF3	0.028275254	1.906769	MPG	1.71776
ENSG00000088305	ENSMUSG00000027478	DNMT3B	0.028284323	1.906629	MPG	1.536021
ENSG00000233608	ENSMUSG00000007805	TWIST2	0.028457046	1.90397	MPG	1.517329
ENSG00000197594	ENSMUSG00000037370	ENPP1	0.028468314	1.903797	MPG	1.573482
ENSG00000169247	ENSMUSG00000045629	SH3TC2	0.028531496	1.902828	MPG	1.177658
ENSG00000155465	ENSMUSG00000000958	SLC7A7	0.028704685	1.900181	MPG	1.271226
ENSG00000196218	ENSMUSG00000030592	RYR1	0.028734871	1.899721	MPG	1.516384
ENSG00000166402	ENSMUSG00000031028	TUB	0.02876331	1.899288	MPG	1.635253
ENSG00000173406	ENSMUSG00000028519	DAB1	0.028881451	1.897493	MPG	1.634746
ENSG00000120915	ENSMUSG00000022040	EPHX2	0.028917863	1.896941	MPG	1.08656
ENSG00000135604	ENSMUSG00000039232	STX11	0.028984651	1.89593	MPG	1.350963
ENSG00000163161	ENSMUSG00000024382	ERCC3	0.029256617	1.891833	MPG	1.135542
ENSG00000100815	ENSMUSG00000021188	TRIP11	0.029473394	1.88859	MPG	1.531852
ENSG00000143183	ENSMUSG00000052428	TMCO1	0.029647612	1.885998	MPG	1.268324
ENSG00000132155	ENSMUSG00000000441	RAF1	0.029768558	1.884206	MPG	1.530839
ENSG00000152822	ENSMUSG00000019828	GRM1	0.030089832	1.879475	MPG	1.529746
ENSG00000104419	ENSMUSG00000005125	NDRG1	0.030098223	1.879352	MPG	1.306163
ENSG00000126778	ENSMUSG00000051367	SIX1	0.030321187	1.876094	MPG	1.628699
ENSG00000147099	ENSMUSG00000067567	HDAC8	0.03039932	1.874957	MPG	1.132151
ENSG00000075043	ENSMUSG00000016346	KCNQ2	0.030520041	1.873205	MPG	1.304804
ENSG00000143669	ENSMUSG00000019726	LYST	0.030555464	1.872692	MPG	1.51037
ENSG00000149948	ENSMUSG00000056758	HMGA2	0.030740798	1.870016	MPG	1.705605
ENSG00000136854	ENSMUSG00000026797	STXBP1	0.030751145	1.869867	MPG	1.064979
ENSG00000049089	ENSMUSG00000028626	COL9A2	0.030951492	1.86699	MPG	1.207958
ENSG00000187288	ENSMUSG00000030278	CIDEC	0.031032017	1.865838	MPG	1.704223
ENSG00000087053	ENSMUSG00000031918	MTMR2	0.031050775	1.86557	MPG	1.207626
ENSG00000134755	ENSMUSG00000024331	DSC2	0.031101427	1.864847	MPG	1.011185
ENSG00000173218	ENSMUSG00000027860	VANGL1	0.031197593	1.863477	MPG	0.96574
ENSG00000129757	ENSMUSG00000037664	CDKN1C	0.031263436	1.862541	MPG	1.508111
ENSG00000015285	ENSMUSG00000031165	WAS	0.031367358	1.861067	MPG	1.507783
ENSG00000157227	ENSMUSG00000000957	MMP14	0.031442126	1.860009	MPG	1.624153
ENSG00000277893	ENSMUSG00000038541	SRD5A2	0.031451536	1.859876	MPG	1.009916
ENSG00000109906	ENSMUSG00000066687	ZBTB16	0.031454932	1.859828	MPG	1.562482
ENSG00000171862	ENSMUSG00000013663	PTEN	0.031456701	1.859803	MPG	1.507502
ENSG00000084073	ENSMUSG00000043207	ZMPSTE24	0.031457763	1.859788	MPG	1.507499
ENSG00000151694	ENSMUSG00000052593	ADAM17	0.031468309	1.859639	MPG	1.624048
ENSG00000133710	ENSMUSG00000055561	SPINK5	0.031472202	1.859584	MPG	1.342233
ENSG00000186862	ENSMUSG00000074818	PDZD7	0.031499468	1.859199	MPG	1.334703
ENSG00000171867	ENSMUSG00000079037	PRNP	0.031596225	1.857835	MPG	1.507064
ENSG00000141458	ENSMUSG00000024413	NPC1	0.031702128	1.856346	MPG	1.5244
ENSG00000132437	ENSMUSG00000020182	DDC	0.031769421	1.855402	MPG	1.300868
ENSG00000188158	ENSMUSG00000059493	NHS	0.031796328	1.855025	MPG	1.061694
ENSG00000131018	ENSMUSG00000096054	SYNE1	0.031921834	1.85327	MPG	1.300397
ENSG00000176887	ENSMUSG00000063632	SOX11	0.032024329	1.851841	MPG	1.523359
ENSG00000165240	ENSMUSG00000033792	ATP7A	0.032061118	1.851329	MPG	1.505616
ENSG00000182372	ENSMUSG00000026317	CLN8	0.032240026	1.848846	MPG	1.522667
ENSG00000188467	ENSMUSG00000035183	SLC24A5	0.032356037	1.847242	MPG	1.39609
ENSG00000172638	ENSMUSG00000024909	EFEMP2	0.032369657	1.847054	MPG	1.504665
ENSG00000104738	ENSMUSG00000022673	MCM4	0.032524516	1.844921	MPG	1.558752
ENSG00000092621	ENSMUSG00000053398	PHGDH	0.032554716	1.844506	MPG	1.126032
ENSG00000105929	ENSMUSG00000038600	ATP6V0A4	0.032573284	1.844251	MPG	1.6197
